"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1024","TC-LOG-009 - navigate to Forgot Password page","chromium","Thu Dec 11 18:36:03 UTC 2025","passed","Thu Dec 11 18:36:04 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","3271","TC-LOG-003 - login with invalid password shows error","webkit","Thu Dec 11 18:40:16 UTC 2025","passed","Thu Dec 11 18:40:19 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","1183","TC-API-002: User Login - POST /users/login","Mobile Chrome","Thu Dec 11 18:41:19 UTC 2025","passed","Thu Dec 11 18:41:20 UTC 2025","API Tests","api.spec.ts","",""
"","601","TC-LOG-007 - toggle password visibility with eye icon","chromium","Thu Dec 11 18:36:02 UTC 2025","passed","Thu Dec 11 18:36:02 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","823","TC-REG-004 - invalid email without ""@"" shows validation error","chromium","Thu Dec 11 18:36:10 UTC 2025","passed","Thu Dec 11 18:36:11 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","1230","TC-LOG-007 - toggle password visibility with eye icon","firefox","Thu Dec 11 18:38:07 UTC 2025","passed","Thu Dec 11 18:38:09 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","30019","TC-LOG-005 - login with empty fields shows validation errors","Mobile Chrome","Thu Dec 11 18:48:45 UTC 2025","broken","Thu Dec 11 18:49:15 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","3587","TC-REG-007 - successful registration with minimum valid password length","webkit","Thu Dec 11 18:41:03 UTC 2025","passed","Thu Dec 11 18:41:07 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","958","TC-REG-009 - password missing lowercase shows validation error","chromium","Thu Dec 11 18:36:38 UTC 2025","passed","Thu Dec 11 18:36:39 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","933","TC-LOG-008 - verify Sign in with Google button is present","webkit","Thu Dec 11 18:40:27 UTC 2025","passed","Thu Dec 11 18:40:28 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","30017","TC-LOG-010 - navigate to Registration page","Mobile Chrome","Thu Dec 11 18:55:24 UTC 2025","broken","Thu Dec 11 18:55:54 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","1910","TC-REG-010 - password missing number shows validation error","firefox","Thu Dec 11 18:38:56 UTC 2025","passed","Thu Dec 11 18:38:58 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","459","Scenario B: Filter products by price range","chromium","Thu Dec 11 18:34:50 UTC 2025","passed","Thu Dec 11 18:34:50 UTC 2025","API Tests > TC-API-003: Product Search & Filtering - GET /products","api.spec.ts","",""
"","2680","TC-REG-012 - using an existing email shows validation error","chromium","Thu Dec 11 18:36:41 UTC 2025","passed","Thu Dec 11 18:36:44 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","1341","TC-LOG-010 - navigate to Registration page","Mobile Safari","Thu Dec 11 19:15:47 UTC 2025","passed","Thu Dec 11 19:15:48 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","1576","TC-REG-009 - password missing lowercase shows validation error","webkit","Thu Dec 11 18:41:09 UTC 2025","passed","Thu Dec 11 18:41:10 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","8693","TC-LOG-001 - successful login with valid credentials","firefox","Thu Dec 11 18:37:13 UTC 2025","failed","Thu Dec 11 18:37:22 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","30020","TC-LOG-004 - login with non-registered email shows error","Mobile Chrome","Thu Dec 11 18:47:10 UTC 2025","broken","Thu Dec 11 18:47:40 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","3218","TC-REG-001 - successful registration with all valid data","Mobile Safari","Thu Dec 11 19:15:48 UTC 2025","passed","Thu Dec 11 19:15:51 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","1602","TC-REG-008 - password missing uppercase shows validation error","firefox","Thu Dec 11 18:38:53 UTC 2025","passed","Thu Dec 11 18:38:55 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","30020","TC-REG-012 - using an existing email shows validation error","Mobile Chrome","Thu Dec 11 19:13:56 UTC 2025","broken","Thu Dec 11 19:14:26 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","3592","TC-REG-007 - successful registration with minimum valid password length","chromium","Thu Dec 11 18:36:34 UTC 2025","passed","Thu Dec 11 18:36:37 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","1652","TC-REG-003 - missing email shows validation error","webkit","Thu Dec 11 18:40:35 UTC 2025","passed","Thu Dec 11 18:40:37 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","8155","TC-LOG-002 - login with email case insensitivity","webkit","Thu Dec 11 18:40:06 UTC 2025","failed","Thu Dec 11 18:40:14 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","1496","TC-REG-010 - password missing number shows validation error","Mobile Safari","Thu Dec 11 19:16:28 UTC 2025","passed","Thu Dec 11 19:16:29 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","8158","TC-LOG-001 - successful login with valid credentials","chromium","Thu Dec 11 18:35:14 UTC 2025","failed","Thu Dec 11 18:35:22 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","2416","TC-REG-006 - password too short shows validation error","webkit","Thu Dec 11 18:41:01 UTC 2025","passed","Thu Dec 11 18:41:03 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","1508","TC-REG-011 - password missing special character shows validation error","Mobile Safari","Thu Dec 11 19:16:29 UTC 2025","passed","Thu Dec 11 19:16:31 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","921","TC-LOG-005 - login with empty fields shows validation errors","chromium","Thu Dec 11 18:36:00 UTC 2025","passed","Thu Dec 11 18:36:01 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","3156","TC-REG-001 - successful registration with all valid data","firefox","Thu Dec 11 18:38:13 UTC 2025","passed","Thu Dec 11 18:38:16 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","1052","TC-REG-010 - password missing number shows validation error","chromium","Thu Dec 11 18:36:39 UTC 2025","passed","Thu Dec 11 18:36:41 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","30019","TC-LOG-009 - navigate to Forgot Password page","Mobile Chrome","Thu Dec 11 18:53:50 UTC 2025","broken","Thu Dec 11 18:54:20 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","8524","TC-LOG-001 - successful login with valid credentials","Mobile Safari","Thu Dec 11 19:14:53 UTC 2025","failed","Thu Dec 11 19:15:01 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","30019","TC-LOG-007 - toggle password visibility with eye icon","Mobile Chrome","Thu Dec 11 18:51:54 UTC 2025","broken","Thu Dec 11 18:52:24 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","3197","TC-LOG-004 - login with non-registered email shows error","Mobile Safari","Thu Dec 11 19:15:38 UTC 2025","passed","Thu Dec 11 19:15:41 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","1277","TC-REG-010 - password missing number shows validation error","webkit","Thu Dec 11 18:41:10 UTC 2025","passed","Thu Dec 11 18:41:12 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","1130","TC-REG-002 - empty submission shows validation errors","webkit","Thu Dec 11 18:40:34 UTC 2025","passed","Thu Dec 11 18:40:35 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","1190","TC-LOG-005 - login with empty fields shows validation errors","firefox","Thu Dec 11 18:38:05 UTC 2025","passed","Thu Dec 11 18:38:06 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","30024","TC-REG-002 - empty submission shows validation errors","Mobile Chrome","Thu Dec 11 18:58:30 UTC 2025","broken","Thu Dec 11 18:59:00 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","866","TC-LOG-008 - verify Sign in with Google button is present","Mobile Safari","Thu Dec 11 19:15:44 UTC 2025","passed","Thu Dec 11 19:15:45 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","3958","TC-LOG-003 - login with invalid password shows error","firefox","Thu Dec 11 18:37:58 UTC 2025","passed","Thu Dec 11 18:38:02 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","1599","TC-REG-004 - invalid email without ""@"" shows validation error","webkit","Thu Dec 11 18:40:37 UTC 2025","passed","Thu Dec 11 18:40:38 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","1348","TC-LOG-009 - navigate to Forgot Password page","webkit","Thu Dec 11 18:40:28 UTC 2025","passed","Thu Dec 11 18:40:29 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","1222","TC-REG-009 - password missing lowercase shows validation error","Mobile Safari","Thu Dec 11 19:16:26 UTC 2025","passed","Thu Dec 11 19:16:28 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","1301","TC-REG-011 - password missing special character shows validation error","webkit","Thu Dec 11 18:41:12 UTC 2025","passed","Thu Dec 11 18:41:13 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","3659","TC-REG-012 - using an existing email shows validation error","firefox","Thu Dec 11 18:38:59 UTC 2025","passed","Thu Dec 11 18:39:03 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","30020","TC-LOG-006 - login with invalid email format shows validation error","Mobile Chrome","Thu Dec 11 18:50:20 UTC 2025","broken","Thu Dec 11 18:50:50 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
