"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1165","TC-REG-002 - empty submission shows validation errors","Mobile Safari","Thu Dec 11 15:10:46 UTC 2025","passed","Thu Dec 11 15:10:47 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","631","TC-LOG-008 - verify Sign in with Google button is present","firefox","Thu Dec 11 14:33:28 UTC 2025","passed","Thu Dec 11 14:33:29 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","6898","TC-REG-005 - invalid email without domain shows validation error","firefox","Thu Dec 11 14:33:53 UTC 2025","failed","Thu Dec 11 14:34:00 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","855","TC-API-002: User Login - POST /users/login","webkit","Thu Dec 11 14:34:14 UTC 2025","passed","Thu Dec 11 14:34:15 UTC 2025","API Tests","api.spec.ts","",""
"","30024","TC-REG-004 - invalid email without ""@"" shows validation error","Mobile Chrome","Thu Dec 11 14:56:39 UTC 2025","broken","Thu Dec 11 14:57:09 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","965","TC-REG-006 - password too short shows validation error","chromium","Thu Dec 11 14:32:09 UTC 2025","passed","Thu Dec 11 14:32:10 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","30021","TC-LOG-002 - login with email case insensitivity","Mobile Chrome","Thu Dec 11 14:39:04 UTC 2025","broken","Thu Dec 11 14:39:34 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","1026","TC-API-004: Shopping Cart Flow - POST /carts and POST /carts/{id}","Mobile Safari","Thu Dec 11 15:09:35 UTC 2025","passed","Thu Dec 11 15:09:36 UTC 2025","API Tests","api.spec.ts","",""
"","2082","TC-REG-012 - using an existing email shows validation error","firefox","Thu Dec 11 14:34:10 UTC 2025","passed","Thu Dec 11 14:34:12 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","30019","TC-REG-005 - invalid email without domain shows validation error","Mobile Chrome","Thu Dec 11 14:58:12 UTC 2025","broken","Thu Dec 11 14:58:42 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","1198","TC-REG-008 - password missing uppercase shows validation error","Mobile Safari","Thu Dec 11 15:11:17 UTC 2025","passed","Thu Dec 11 15:11:18 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","948","TC-API-002: User Login - POST /users/login","chromium","Thu Dec 11 14:30:41 UTC 2025","passed","Thu Dec 11 14:30:42 UTC 2025","API Tests","api.spec.ts","",""
"","8600","TC-LOG-001 - successful login with valid credentials","webkit","Thu Dec 11 14:34:49 UTC 2025","failed","Thu Dec 11 14:34:57 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","1043","TC-LOG-009 - navigate to Forgot Password page","firefox","Thu Dec 11 14:33:29 UTC 2025","passed","Thu Dec 11 14:33:30 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","1499","TC-REG-012 - using an existing email shows validation error","chromium","Thu Dec 11 14:32:15 UTC 2025","passed","Thu Dec 11 14:32:17 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","30020","TC-LOG-003 - login with invalid password shows error","Mobile Chrome","Thu Dec 11 14:40:38 UTC 2025","broken","Thu Dec 11 14:41:08 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","7561","TC-LOG-002 - login with email case insensitivity","firefox","Thu Dec 11 14:33:10 UTC 2025","failed","Thu Dec 11 14:33:18 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
