"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30026","TC-LOG-004 - login with non-registered email shows error","Mobile Chrome","Sun Nov 23 16:30:13 UTC 2025","broken","Sun Nov 23 16:30:43 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","433","Scenario A: Sort products by price descending","Mobile Safari","Sun Nov 23 16:42:32 UTC 2025","passed","Sun Nov 23 16:42:32 UTC 2025","API Tests > TC-API-003: Product Search & Filtering - GET /products","api.spec.ts","",""
"","3418","TC-REG-007 - successful registration with minimum valid password length","Mobile Safari","Sun Nov 23 16:44:19 UTC 2025","passed","Sun Nov 23 16:44:22 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","450","Scenario B: Filter products by price range","Mobile Chrome","Sun Nov 23 16:24:33 UTC 2025","passed","Sun Nov 23 16:24:33 UTC 2025","API Tests > TC-API-003: Product Search & Filtering - GET /products","api.spec.ts","",""
"","3160","TC-LOG-004 - login with non-registered email shows error","Mobile Safari","Sun Nov 23 16:43:36 UTC 2025","passed","Sun Nov 23 16:43:39 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","5381","TC-REG-012 - using an existing email shows validation error","Mobile Chrome","Sun Nov 23 16:42:24 UTC 2025","failed","Sun Nov 23 16:42:29 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","1319","TC-LOG-005 - login with empty fields shows validation errors","webkit","Sun Nov 23 16:23:36 UTC 2025","passed","Sun Nov 23 16:23:37 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","1590","TC-REG-009 - password missing lowercase shows validation error","webkit","Sun Nov 23 16:24:21 UTC 2025","passed","Sun Nov 23 16:24:23 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","450","Scenario B: Filter products by price range","firefox","Sun Nov 23 16:20:15 UTC 2025","passed","Sun Nov 23 16:20:15 UTC 2025","API Tests > TC-API-003: Product Search & Filtering - GET /products","api.spec.ts","",""
"","410","Scenario A: Sort products by price descending","chromium","Sun Nov 23 16:18:26 UTC 2025","passed","Sun Nov 23 16:18:27 UTC 2025","API Tests > TC-API-003: Product Search & Filtering - GET /products","api.spec.ts","",""
"","1203","TC-LOG-008 - verify Sign in with Google button is present","Mobile Safari","Sun Nov 23 16:43:42 UTC 2025","passed","Sun Nov 23 16:43:44 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","1324","TC-REG-009 - password missing lowercase shows validation error","firefox","Sun Nov 23 16:22:10 UTC 2025","passed","Sun Nov 23 16:22:12 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","30026","TC-LOG-007 - toggle password visibility with eye icon","Mobile Chrome","Sun Nov 23 16:34:50 UTC 2025","broken","Sun Nov 23 16:35:20 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","5404","TC-REG-011 - password missing special character shows validation error","Mobile Chrome","Sun Nov 23 16:42:05 UTC 2025","failed","Sun Nov 23 16:42:10 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","1481","TC-REG-009 - password missing lowercase shows validation error","Mobile Safari","Sun Nov 23 16:44:24 UTC 2025","passed","Sun Nov 23 16:44:25 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","1130","TC-LOG-009 - navigate to Forgot Password page","firefox","Sun Nov 23 16:21:28 UTC 2025","passed","Sun Nov 23 16:21:30 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","1393","TC-LOG-010 - navigate to Registration page","webkit","Sun Nov 23 16:23:42 UTC 2025","passed","Sun Nov 23 16:23:43 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","5361","TC-LOG-008 - verify Sign in with Google button is present","Mobile Chrome","Sun Nov 23 16:35:33 UTC 2025","failed","Sun Nov 23 16:35:38 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","1245","TC-LOG-007 - toggle password visibility with eye icon","firefox","Sun Nov 23 16:21:26 UTC 2025","passed","Sun Nov 23 16:21:28 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","2883","TC-REG-012 - using an existing email shows validation error","chromium","Sun Nov 23 16:20:09 UTC 2025","passed","Sun Nov 23 16:20:12 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
