"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30026","TC-REG-007 - successful registration with minimum valid password length","Mobile Chrome","Thu Dec 11 14:45:32 UTC 2025","broken","Thu Dec 11 14:46:02 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","347","Scenario A: Sort products by price descending","chromium","Thu Dec 11 14:15:28 UTC 2025","passed","Thu Dec 11 14:15:28 UTC 2025","API Tests > TC-API-003: Product Search & Filtering - GET /products","api.spec.ts","",""
"","633","TC-API-001: User Registration - POST /users/register","chromium","Thu Dec 11 14:15:26 UTC 2025","passed","Thu Dec 11 14:15:27 UTC 2025","API Tests","api.spec.ts","",""
"","833","TC-LOG-005 - login with empty fields shows validation errors","chromium","Thu Dec 11 14:16:20 UTC 2025","passed","Thu Dec 11 14:16:21 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","889","TC-LOG-008 - verify Sign in with Google button is present","firefox","Thu Dec 11 14:18:05 UTC 2025","passed","Thu Dec 11 14:18:06 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","30023","TC-REG-012 - using an existing email shows validation error","Mobile Chrome","Thu Dec 11 14:53:16 UTC 2025","broken","Thu Dec 11 14:53:46 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","727","TC-LOG-006 - login with invalid email format shows validation error","chromium","Thu Dec 11 14:16:21 UTC 2025","passed","Thu Dec 11 14:16:22 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","363","Scenario B: Filter products by price range","Mobile Chrome","Thu Dec 11 14:21:02 UTC 2025","passed","Thu Dec 11 14:21:02 UTC 2025","API Tests > TC-API-003: Product Search & Filtering - GET /products","api.spec.ts","",""
"","2398","TC-REG-001 - successful registration with all valid data","webkit","Thu Dec 11 14:20:16 UTC 2025","passed","Thu Dec 11 14:20:19 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","970","TC-REG-002 - empty submission shows validation errors","Mobile Safari","Thu Dec 11 14:55:00 UTC 2025","passed","Thu Dec 11 14:55:01 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","1190","TC-LOG-006 - login with invalid email format shows validation error","Mobile Safari","Thu Dec 11 14:54:51 UTC 2025","passed","Thu Dec 11 14:54:52 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","980","TC-LOG-005 - login with empty fields shows validation errors","Mobile Safari","Thu Dec 11 14:54:50 UTC 2025","passed","Thu Dec 11 14:54:51 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","2542","TC-REG-007 - successful registration with minimum valid password length","webkit","Thu Dec 11 14:20:48 UTC 2025","passed","Thu Dec 11 14:20:50 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","1650","TC-LOG-003 - login with invalid password shows error","chromium","Thu Dec 11 14:16:17 UTC 2025","passed","Thu Dec 11 14:16:18 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","30039","TC-REG-002 - empty submission shows validation errors","Mobile Chrome","Thu Dec 11 14:37:48 UTC 2025","broken","Thu Dec 11 14:38:18 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","1332","TC-LOG-007 - toggle password visibility with eye icon","webkit","Thu Dec 11 14:20:11 UTC 2025","passed","Thu Dec 11 14:20:13 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","1453","TC-REG-009 - password missing lowercase shows validation error","webkit","Thu Dec 11 14:20:52 UTC 2025","passed","Thu Dec 11 14:20:53 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","831","TC-REG-008 - password missing uppercase shows validation error","chromium","Thu Dec 11 14:16:52 UTC 2025","passed","Thu Dec 11 14:16:53 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","6528","TC-REG-005 - invalid email without domain shows validation error","Mobile Safari","Thu Dec 11 14:55:20 UTC 2025","failed","Thu Dec 11 14:55:26 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","755","TC-LOG-005 - login with empty fields shows validation errors","firefox","Thu Dec 11 14:18:02 UTC 2025","passed","Thu Dec 11 14:18:02 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","1055","TC-API-002: User Login - POST /users/login","Mobile Safari","Thu Dec 11 14:53:48 UTC 2025","passed","Thu Dec 11 14:53:49 UTC 2025","API Tests","api.spec.ts","",""
"","30025","TC-REG-005 - invalid email without domain shows validation error","Mobile Chrome","Thu Dec 11 14:42:26 UTC 2025","broken","Thu Dec 11 14:42:56 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
