"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1007","TC-REG-003 - missing email shows validation error","chromium","Thu Dec 11 18:40:50 UTC 2025","passed","Thu Dec 11 18:40:51 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","1619","TC-REG-009 - password missing lowercase shows validation error","webkit","Thu Dec 11 18:45:57 UTC 2025","passed","Thu Dec 11 18:45:59 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","30019","TC-LOG-005 - login with empty fields shows validation errors","Mobile Chrome","Thu Dec 11 18:53:34 UTC 2025","broken","Thu Dec 11 18:54:04 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","1042","TC-REG-010 - password missing number shows validation error","chromium","Thu Dec 11 18:41:22 UTC 2025","passed","Thu Dec 11 18:41:23 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","436","Scenario A: Sort products by price descending","Mobile Chrome","Thu Dec 11 18:46:08 UTC 2025","passed","Thu Dec 11 18:46:09 UTC 2025","API Tests > TC-API-003: Product Search & Filtering - GET /products","api.spec.ts","",""
"","30021","TC-REG-009 - password missing lowercase shows validation error","Mobile Chrome","Thu Dec 11 19:14:12 UTC 2025","broken","Thu Dec 11 19:14:42 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","682","TC-API-001: User Registration - POST /users/register","Mobile Safari","Thu Dec 11 19:19:22 UTC 2025","passed","Thu Dec 11 19:19:22 UTC 2025","API Tests","api.spec.ts","",""
"","1017","TC-LOG-008 - verify Sign in with Google button is present","firefox","Thu Dec 11 18:42:53 UTC 2025","passed","Thu Dec 11 18:42:54 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","30032","TC-REG-001 - successful registration with all valid data","Mobile Chrome","Thu Dec 11 19:01:49 UTC 2025","broken","Thu Dec 11 19:02:19 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","1210","TC-REG-003 - missing email shows validation error","firefox","Thu Dec 11 18:43:02 UTC 2025","passed","Thu Dec 11 18:43:03 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
