"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5251","TC-REG-005 - invalid email without domain shows validation error","Mobile Chrome","Thu Dec 11 14:25:19 UTC 2025","failed","Thu Dec 11 14:25:25 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","30023","TC-LOG-003 - login with invalid password shows error","Mobile Chrome","Thu Dec 11 14:13:50 UTC 2025","broken","Thu Dec 11 14:14:20 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","1493","TC-LOG-007 - toggle password visibility with eye icon","webkit","Thu Dec 11 14:08:51 UTC 2025","passed","Thu Dec 11 14:08:52 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","5230","TC-REG-006 - password too short shows validation error","Mobile Chrome","Thu Dec 11 14:25:38 UTC 2025","failed","Thu Dec 11 14:25:43 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","838","TC-LOG-009 - navigate to Forgot Password page","chromium","Thu Dec 11 14:04:23 UTC 2025","passed","Thu Dec 11 14:04:24 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","2110","TC-REG-007 - successful registration with minimum valid password length","firefox","Thu Dec 11 14:07:09 UTC 2025","passed","Thu Dec 11 14:07:12 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","1199","TC-API-004: Shopping Cart Flow - POST /carts and POST /carts/{id}","chromium","Thu Dec 11 14:03:08 UTC 2025","passed","Thu Dec 11 14:03:09 UTC 2025","API Tests","api.spec.ts","",""
"","30021","TC-LOG-006 - login with invalid email format shows validation error","Mobile Chrome","Thu Dec 11 14:18:27 UTC 2025","broken","Thu Dec 11 14:18:57 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","2127","TC-LOG-003 - login with invalid password shows error","webkit","Thu Dec 11 14:08:24 UTC 2025","passed","Thu Dec 11 14:08:26 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
"","1144","TC-REG-011 - password missing special character shows validation error","firefox","Thu Dec 11 14:07:15 UTC 2025","passed","Thu Dec 11 14:07:16 UTC 2025","Registration - based on RegistrationTestCases.md","registration.spec.ts","",""
"","1710","TC-LOG-004 - login with non-registered email shows error","chromium","Thu Dec 11 14:03:59 UTC 2025","passed","Thu Dec 11 14:04:01 UTC 2025","Login Page - based on LoginTestCases.md","login.spec.ts","",""
